[2026-07-08T04:35:24.913Z] GET file:///Users/calvinandoh/Desktop/tech4good/index.html → 200 (6ms, 9429B)
[2026-07-08T04:35:24.928Z] GET https://fonts.googleapis.com/css2?family=Fraunces:ital,opsz,wght@0,9..144,300..900;1,9..144,300..900&family=DM+Sans:opsz,wght@9..40,300..700&family=JetBrains+Mono:wght@400;500;600&display=swap → 200 (244ms, 1457B)
[2026-07-08T04:35:24.928Z] GET file:///Users/calvinandoh/Desktop/tech4good/styles.css → 200 (4ms, 29222B)
[2026-07-08T04:35:24.928Z] GET https://cdn.jsdelivr.net/npm/@supabase/supabase-js@2 → 200 (128ms, 53283B)
[2026-07-08T04:35:24.928Z] GET file:///Users/calvinandoh/Desktop/tech4good/js/t4g-auth.js → 200 (5ms, 8175B)
[2026-07-08T04:35:25.226Z] GET https://fonts.gstatic.com/s/fraunces/v38/6NU78FyLNQOQZAnv9bYEvDiIdE9Ea92uemAk_WBq8U_9v0c2Wa0KxC9TeP2Xz5c.woff2 → 200 (324ms, 67957B)
[2026-07-08T04:35:25.226Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Hp2ywxg089UriCZOIHTWEBlw.woff2 → 200 (413ms, 62701B)
[2026-07-08T04:35:25.226Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (397ms, 31467B)
[2026-07-08T04:35:25.226Z] GET https://fonts.gstatic.com/s/fraunces/v38/6NU58FyLNQOQZAnv9ZwNjucMHVn85Ni7emAe9lKqZTnbB-gzTK0K1ChjeveQ7ZXk8g.woff2 → 200 (428ms, 81858B)
[2026-07-08T04:35:32.753Z] GET file:///Users/calvinandoh/Desktop/tech4good/login.html → 200 (1ms, 4483B)
[2026-07-08T04:35:32.756Z] GET https://fonts.googleapis.com/css2?family=Fraunces:ital,opsz,wght@0,9..144,300..900;1,9..144,300..900&family=DM+Sans:opsz,wght@9..40,300..700&family=JetBrains+Mono:wght@400;500;600&display=swap → 200 (2ms, -698B)
[2026-07-08T04:35:32.756Z] GET file:///Users/calvinandoh/Desktop/tech4good/styles.css → 200 (1ms, 29222B)
[2026-07-08T04:35:32.756Z] GET https://cdn.jsdelivr.net/npm/@supabase/supabase-js@2 → 200 (11ms, -1067B)
[2026-07-08T04:35:32.756Z] GET file:///Users/calvinandoh/Desktop/tech4good/js/t4g-auth.js → 200 (2ms, 8175B)
[2026-07-08T04:35:32.766Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Hp2ywxg089UriCZOIHTWEBlw.woff2 → 200 (?ms, -815B)
[2026-07-08T04:35:32.766Z] GET https://fonts.gstatic.com/s/fraunces/v38/6NU78FyLNQOQZAnv9bYEvDiIdE9Ea92uemAk_WBq8U_9v0c2Wa0KxC9TeP2Xz5c.woff2 → 200 (?ms, -815B)
[2026-07-08T04:35:32.766Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwgknk-4.woff2 → 200 (?ms, -815B)
[2026-07-08T04:35:32.850Z] GET file:///Users/calvinandoh/Desktop/tech4good/profile.html → 200 (1ms, 6641B)
[2026-07-08T04:35:32.853Z] GET https://fonts.googleapis.com/css2?family=Fraunces:ital,opsz,wght@0,9..144,300..900;1,9..144,300..900&family=DM+Sans:opsz,wght@9..40,300..700&family=JetBrains+Mono:wght@400;500;600&display=swap → 200 (1ms, -698B)
[2026-07-08T04:35:32.853Z] GET file:///Users/calvinandoh/Desktop/tech4good/styles.css → 200 (1ms, 29222B)
[2026-07-08T04:35:32.853Z] GET https://cdn.jsdelivr.net/npm/@supabase/supabase-js@2 → 200 (2ms, -1067B)
[2026-07-08T04:35:32.853Z] GET file:///Users/calvinandoh/Desktop/tech4good/js/t4g-auth.js → 200 (1ms, 8175B)
[2026-07-08T04:35:32.859Z] GET https://fonts.gstatic.com/s/fraunces/v38/6NU78FyLNQOQZAnv9bYEvDiIdE9Ea92uemAk_WBq8U_9v0c2Wa0KxC9TeP2Xz5c.woff2 → 200 (1ms, -815B)
[2026-07-08T04:35:32.859Z] GET https://fonts.gstatic.com/s/dmsans/v17/rP2Hp2ywxg089UriCZOIHTWEBlw.woff2 → 200 (2ms, -815B)
